subject_code,subject_name,topic_name,subtopic_name,qtype,question_text,explanation,options,correct
biology,Биология,Экология,Пищевые цепи,single,Продуцентами в экосистеме обычно являются...,Продуценты создают органическое вещество из неорганического.,A) Хищники|B) Растения|C) Грибы|D) Детритофаги,B
biology,Биология,Человек,Нервная система,single,Рефлекторная дуга обязательно включает...,Эфферентный путь передаёт импульс к эффектору.,"A) Только рецептор|B) Рецептор и эффектор|C) Рецептор, нервные пути и эффектор|D) Только спинной мозг",C
biology,Биология,Клетка,Деление,single,Во время митоза образуются...,Митоз дает две генетически одинаковые клетки.,A) 4 гаплоидные клетки|B) 2 одинаковые диплоидные клетки|C) 2 разные гаплоидные клетки|D) 1 полиплоидная клетка,B
biology,Биология,Генетика,Мутации,single,Точечная мутация — это...,Изменение в одном нуклеотиде/паре нуклеотидов.,A) Потеря целой хромосомы|B) Изменение одного нуклеотида|C) Удвоение генома|D) Обмен участками между хромосомами,B
biology,Биология,Ботаника,Ткани,single,За транспорт воды в растении отвечает в первую очередь...,Ксилема проводит воду и минеральные вещества.,A) Флоэма|B) Ксилема|C) Камбий|D) Эпидерма,B
biology,Биология,Человек,Пищеварение,single,Где начинается переваривание крахмала?,Амилаза слюны начинает расщеплять крахмал во рту.,A) В желудке|B) В ротовой полости|C) В тонком кишечнике|D) В печени,B
biology,Биология,Экология,Факторы среды,single,К абиотическим факторам относится...,Температура — фактор неживой природы.,A) Хищничество|B) Конкуренция|C) Температура|D) Паразитизм,C
biology,Биология,Клетка,Белки,single,Рибосомы — место...,Рибосомы осуществляют трансляцию белка.,A) Репликации ДНК|B) Синтеза белка|C) Бета-окисления жиров|D) Фотолиза воды,B
biology,Биология,Генетика,Кариотип,single,У человека в соматической клетке хромосом...,Соматические клетки человека диплоидны: 46 хромосом.,A) 23|B) 44|C) 46|D) 48,C
biology,Биология,Человек,Иммунитет,single,Антитела вырабатываются...,Антитела синтезируются В-лимфоцитами (плазматическими клетками).,A) Эритроцитами|B) Тромбоцитами|C) В-лимфоцитами|D) Нейронами,C
biology,Биология,Экология,Популяции,single,"Лимитирующий фактор — это фактор, который...",Он ограничивает рост численности популяции.,A) Ускоряет размножение|B) Не влияет на популяцию|C) Ограничивает рост популяции|D) Всегда биотический,C
biology,Биология,Ботаника,Размножение,single,Двойное оплодотворение характерно для...,Признак покрытосеменных растений.,A) Голосеменных|B) Мхов|C) Покрытосеменных|D) Папоротников,C
biology,Биология,Человек,Выделение,single,Функциональная единица почки — ...,Нефрон — структурно-функциональная единица почки.,A) Альвеола|B) Нейрон|C) Нефрон|D) Остеон,C
biology,Биология,Клетка,Энергетика,single,Гликолиз протекает в...,Гликолиз идёт в цитоплазме.,A) Митохондриях|B) Хлоропластах|C) Цитоплазме|D) Ядре,C
biology,Биология,Генетика,Код,single,"Триплетность генетического кода означает, что...",Один аминокислотный сигнал кодируется тремя нуклеотидами.,A) Один нуклеотид кодирует аминокислоту|B) Три нуклеотида кодируют аминокислоту|C) Три гена кодируют один белок|D) Белок состоит из трех аминокислот,B
biology,Биология,Человек,Сердце,single,Малый круг кровообращения начинается в...,Малый круг начинается из правого желудочка.,A) Левом предсердии|B) Левом желудочке|C) Правом желудочке|D) Правом предсердии,C
biology,Биология,Экология,Сукцессии,single,Первичная сукцессия начинается...,На ранее безжизненных субстратах без почвы.,A) На месте лесного пожара|B) На участке после вырубки|C) На голых скалах без почвы|D) В зрелом сообществе,C
math,Математика,Алгебра,Линейные уравнения,single,Решите уравнение: 2x + 6 = 14,"2x=8, x=4.",A) 2|B) 3|C) 4|D) 5,C
math,Математика,Алгебра,Квадратные уравнения,single,Сколько корней у уравнения x^2 - 5x + 6 = 0?,"Дискриминант положителен, два корня.",A) 0|B) 1|C) 2|D) 3,C
math,Математика,Геометрия,Треугольники,single,Сумма углов треугольника равна...,Евклидова геометрия: 180 градусов.,A) 90°|B) 180°|C) 270°|D) 360°,B
math,Математика,Алгебра,Степени,single,Чему равно 2^5?,2*2*2*2*2 = 32.,A) 16|B) 24|C) 32|D) 64,C
math,Математика,Геометрия,Площадь,single,Площадь прямоугольника со сторонами 7 и 4 равна...,S=a*b=28.,A) 11|B) 18|C) 28|D) 32,C
math,Математика,Алгебра,Функции,single,График функции y = kx + b называется...,Это линейная функция.,A) Парабола|B) Гипербола|C) Прямая|D) Окружность,C
math,Математика,Тригонометрия,Основы,single,sin(90°) равен...,Синус 90 градусов равен 1.,A) 0|B) 0.5|C) 1|D) -1,C
math,Математика,Алгебра,Неравенства,single,Решение неравенства x - 3 > 0,x > 3.,A) x<3|B) x=3|C) x>3|D) x≥0,C
math,Математика,Геометрия,Окружность,single,Чему равна длина окружности радиуса r?,Формула длины окружности 2πr.,A) πr^2|B) 2πr|C) πd^2|D) r/2π,B
math,Математика,Алгебра,Дроби,single,Сократите дробь 18/24,Делим числитель и знаменатель на 6.,A) 2/3|B) 3/4|C) 4/5|D) 5/6,B
math,Математика,Алгебра,Прогрессии,single,"В арифметической прогрессии a1=3, d=2. Найдите a5.",a5=a1+4d=3+8=11.,A) 9|B) 10|C) 11|D) 12,C
math,Математика,Геометрия,Пифагор,single,Катеты 3 и 4. Гипотенуза равна...,По теореме Пифагора: 5.,A) 4|B) 5|C) 6|D) 7,B
math,Математика,Алгебра,Логарифмы,single,log10(1000) равен...,10^3=1000.,A) 2|B) 3|C) 10|D) 100,B
math,Математика,Комбинаторика,Подсчет,single,Сколькими способами можно выбрать 1 предмет из 8?,"C(8,1)=8.",A) 1|B) 8|C) 16|D) 64,B
math,Математика,Вероятность,Основы,single,Вероятность выпадения орла при честной монете равна...,Равновозможные исходы: 1/2.,A) 1/4|B) 1/3|C) 1/2|D) 1,C
math,Математика,Алгебра,Модули,single,Решите |x| = 7,Модуль даёт два решения: ±7.,A) x=7|B) x=-7|C) x=±7|D) x=0,C
math,Математика,Геометрия,Объем,single,Объем куба с ребром 3 равен...,V=a^3=27.,A) 9|B) 18|C) 27|D) 36,C
math,Математика,Алгебра,Системы,single,"Решите систему: x+y=5, x-y=1. Найдите x.","Складываем уравнения: 2x=6, x=3.",A) 2|B) 3|C) 4|D) 5,B
math,Математика,Тригонометрия,Основы,single,cos(0°) равен...,Косинус нуля равен 1.,A) 0|B) 1|C) -1|D) 0.5,B
math,Математика,Алгебра,Корни,single,√81 равно...,Квадратный корень из 81 равен 9.,A) 8|B) 9|C) 10|D) 81,B
math,Математика,Геометрия,Подобие,single,"Если коэффициент подобия 2, площади подобных фигур относятся как...",Площади относятся как квадрат коэффициента: 4.,A) 1:2|B) 1:3|C) 1:4|D) 1:8,C
math,Математика,Алгебра,Проценты,single,Увеличьте 200 на 15%,"15% от 200 = 30, итого 230.",A) 215|B) 225|C) 230|D) 240,C
math,Математика,Вероятность,События,single,Сумма вероятностей противоположных событий равна...,P(A)+P(not A)=1.,A) 0|B) 0.5|C) 1|D) 2,C
math,Математика,Алгебра,Показательные,single,Решите 3^x = 27,27 = 3^3.,A) 2|B) 3|C) 4|D) 9,B
math,Математика,Геометрия,Углы,single,Смежные углы в сумме дают...,Смежные углы дополняют до 180°.,A) 90°|B) 120°|C) 180°|D) 360°,C
chemistry,Химия,Общая химия,Периодическая система,single,Какой элемент имеет символ O?,Символ O — кислород.,A) Олово|B) Кислород|C) Осмий|D) Озон,B
chemistry,Химия,Общая химия,Строение атома,single,Сколько протонов в ядре атома углерода?,Порядковый номер углерода 6.,A) 4|B) 5|C) 6|D) 12,C
chemistry,Химия,Неорганическая химия,Кислоты,single,Формула серной кислоты...,Серная кислота: H2SO4.,A) H2SO3|B) H2SO4|C) HNO3|D) HCl,B
chemistry,Химия,Неорганическая химия,Основания,single,Как называется NaOH?,NaOH — гидроксид натрия.,A) Нитрат натрия|B) Сульфат натрия|C) Гидроксид натрия|D) Карбонат натрия,C
chemistry,Химия,Физическая химия,Растворы,single,pH нейтрального раствора при 25°C равен...,Для нейтральной среды pH=7.,A) 0|B) 1|C) 7|D) 14,C
chemistry,Химия,Общая химия,Типы связей,single,Связь в молекуле H2 называется...,Между одинаковыми атомами — ковалентная неполярная.,A) Ионная|B) Металлическая|C) Ковалентная неполярная|D) Водородная,C
chemistry,Химия,Неорганическая химия,Окислительно-восстановительные,single,Окислитель в реакции принимает...,Окислитель принимает электроны.,A) Протоны|B) Электроны|C) Нейтроны|D) Атомы кислорода,B
chemistry,Химия,Органическая химия,Углеводороды,single,Общая формула алканов...,Для алканов CnH2n+2.,A) CnH2n|B) CnH2n+2|C) CnH2n-2|D) CnHn,B
chemistry,Химия,Общая химия,Моль,single,Чему равно число Авогадро (приблизительно)?,NA≈6.02×10^23 1/моль.,A) 6.02×10^20|B) 6.02×10^23|C) 3.14×10^8|D) 9.81×10^2,B
chemistry,Химия,Неорганическая химия,Соли,single,Какая соль образуется при нейтрализации HCl и NaOH?,Реакция: HCl+NaOH→NaCl+H2O.,A) Na2SO4|B) NaCl|C) KNO3|D) CaCO3,B
chemistry,Химия,Физическая химия,Тепловой эффект,single,Экзотермическая реакция сопровождается...,Выделением тепла в окружающую среду.,A) Поглощением тепла|B) Выделением тепла|C) Неизменной температурой всегда|D) Снижением давления всегда,B
chemistry,Химия,Общая химия,Степени окисления,single,Степень окисления кислорода в большинстве соединений...,Обычно -2 (кроме пероксидов и др.).,A) +2|B) -2|C) 0|D) -1,B
chemistry,Химия,Органическая химия,Функциональные группы,single,Группа -OH характерна для...,Гидроксильная группа определяет спирты.,A) Альдегидов|B) Кетонов|C) Спиртов|D) Алканов,C
chemistry,Химия,Неорганическая химия,Газы,single,Какой газ выделяется при реакции карбоната с кислотой?,Карбонаты с кислотами дают CO2.,A) O2|B) H2|C) CO2|D) N2,C
chemistry,Химия,Физическая химия,Скорость реакции,single,Катализатор влияет на...,Он снижает энергию активации и ускоряет реакцию.,A) Конечный состав равновесия всегда|B) Скорость реакции|C) Молярную массу веществ|D) Заряд ядра,B
chemistry,Химия,Общая химия,Электролиты,single,Сильным электролитом является...,NaCl в воде диссоциирует практически полностью.,A) Сахароза|B) Этанол|C) NaCl|D) Бензол,C
chemistry,Химия,Неорганическая химия,Периоды и группы,single,Элементы одной группы ПС имеют...,Одинаковое число валентных электронов (в главных подгруппах).,A) Одинаковое число протонов|B) Одинаковое число электронных слоев|C) Сходные химические свойства|D) Одинаковую массу,C
chemistry,Химия,Органическая химия,Изомерия,single,Изомеры — это вещества с...,"Одинаковая формула, но разное строение.",A) Разной формулой и одинаковым строением|B) Одинаковой молекулярной формулой и разным строением|C) Одинаковыми физсвойствами всегда|D) Одинаковым агрегатным состоянием,B
chemistry,Химия,Физическая химия,Концентрации,single,Массовая доля растворенного вещества выражается обычно в...,Чаще всего в процентах.,A) Паскалях|B) Процентах|C) Молях на литр только|D) Джоулях,B
chemistry,Химия,Неорганическая химия,Амфотерность,single,Амфотерный гидроксид реагирует...,"И с кислотами, и с щелочами.","A) Только с кислотами|B) Только со щелочами|C) И с кислотами, и со щелочами|D) Ни с чем",C
chemistry,Химия,Общая химия,Кристаллические решетки,single,Металлическая связь характерна для...,Для металлов с «электронным газом».,A) NaCl|B) Fe|C) H2O|D) CO2,B
chemistry,Химия,Органическая химия,Реакции,single,Этанол окисляется до...,Первичный спирт может окисляться до альдегида и далее кислоты.,A) Метана|B) Этилена|C) Этаналя|D) Пропанона,C
chemistry,Химия,Физическая химия,Равновесие,single,Принцип Ле Шателье описывает...,Смещение равновесия при внешнем воздействии.,A) Строение атома|B) Смещение химического равновесия|C) Электролитическую диссоциацию|D) Механизм горения,B
chemistry,Химия,Неорганическая химия,Оксиды,single,Какой оксид является кислотным?,SO3 — типичный кислотный оксид.,A) Na2O|B) CaO|C) SO3|D) MgO,C
chemistry,Химия,Общая химия,Безопасность,single,При разбавлении концентрированной кислоты нужно...,Кислоту вливают в воду для безопасности.,A) Лить воду в кислоту|B) Лить кислоту в воду|C) Смешивать в равных частях резко|D) Не использовать защиту,B
